"","x"
"8457","national citizens legal network"
"8458","policy analysis center"
"8459","state legislative policy institute"
"8460","hughes aircraft retirees association"
"8461","hughes employees association"
"8462","oklahoma hospital association"
"8463","oregon association of hospitals and health services"
"8464","an association of hospitals and health services"
"8465","texas association of hospitals and healthcare organizations"
"8466","womens sports foundation"
"8467","center for school change"
"8468","florida immigrant advocacy center"
"8469","national coalition to protect political freedom"
"8470","immigrant and refugee services of america"
"8471","national immigration law center"
"8472","jewish policy center"
"8473","jewish institute for national security affairs"
"8474","pennsylvania federation of injured workers"
"8475","workplace injury litigation group inc"
"8476","center for medicare advocacy"
"8477","insurance federation of pennsylvania"
"8478","strategic services on unemployment and workers compensation"
"8479","michigan self-insurers association"
"8480","pennsylvania chamber of business and industry"
"8481","pennsylvania self-insurers association"
"8482","pennsylvania defense institute"
"8483","pennsylvania retailers association"
"8484","pennsylvania manufacturers association"
"8485","family voices"
"8486","national association of school nurses"
"8487","national academy of forensic engineers"
"8488","attorneys information exchange group inc"
"8489","bona shipping inc"
"8490","liberty maritime corporation"
"8491","offshore marine service association"
"8492","society of automotive engineers inc"
"8493","national academy of engineering"
"8494","burger king corporation"
"8495","cytec industries inc"
"8496","darden restaurants"
"8497","healthsouth corporation"
"8498","insilco corporation"
"8499","tricon global restaurants inc"
"8500","standard insurance company"
"8501","anhydrides and chemicals inc"
"8502","iko industries ltd"
"8503","marubeni america corporation"
"8504","customs and international trade bar association"
"8505","american league of lobbyists"
"8506","commercial investment real estate institute"
"8507","kerr-mcgee corporation"
"8508","national mining association"
"8509","american nuclear insurers"
"8510","poverty law project of the national clearinghouse for legal services"
"8511","success against all odds"
"8512","pennsylvania now inc"
"8513","wyoming coalition against domestic violence and sexual assault"
"8514","hawaii state coalition against domestic violence"
"8515","vermont network against domestic and sexual violence"
"8516","young women commited to act of san diego - domestic violence services"
"8517","louisiana coalition against domestic violence"
"8518","missouri coalition against domestic and sexual violence"
"8519","michigan coalition against domestic and sexual violence"
"8520","center for wom"
"8521","empower of monroe county"
"8522","hospitality house inc"
"8523","independent heights welfare rights union"
"8524","los angeles coalition to erase hunger and homelessness"
"8525","multi-county clients council"
"8526","9to5, national association of working women poverty network initiative"
"8527","northeast missouri client council for human needs inc"
"8528","oakland county welfare rights organization"
"8529","ohio welfare rights organization"
"8530","poor and working class moms"
"8531","roberts village resident management corporation"
"8532","sisters in portland impacting real issues together"
"8533","state organization of client councils"
"8534","washington welfare reform coalition"
"8535","welfare rights organizing coalition"
"8536","welfare warriors"
"8537","women for economic security"
"8538","workfairness"
"8539","make the road by walking inc"
"8540","kensington welfare rights union"
"8541","lutheran services in america"
"8542","amercain broadcasting center inc"
"8543","allied daily newspapers of washington inc"
"8544","central broadcasting station inc"
"8545","king world productions inc"
"8546","orange county register a division of freedom communications inc"
"8547","washington state association of broadcasters"
"8548","univision communications inc"
"8549","students for individual liberty and student association for freedom of expression"
"8550","georgia school boards association"
"8551","center for advancement of public policy"
"8552","national alliance of sexual assault coalitions"
"8553","survivors of educator sexual abuse and misconduct emerge inc"
"8554","texas civil rights project"
"8555","title ix advocacy project"
"8556","women and philanthropy"
"8557","national womens history project"
"8558","myra sadker foundation"
"8559","center for marine conservation"
"8560","consumer dental choice project of the national institute for science law and public policy inc"
"8561","parents families and friends of lesbians and gays"
"8562","national association of orthopaedic nurses"
"8563","aids policy center for children youth and families"
"8564","association for persons in supported employment"
"8565","brain injury association"
"8566","coalition for the homeless"
"8567","coalition on h"
"8568","coal bed methane ad hoc committee"
"8569","wyoming independent producers association"
"8570","utah farm bureau federation"
"8571","new mexico farm and livestock bureau"
"8572","montana farm bureau federation"
"8573","chicago alliance for neighborhood safety"
"8574","chicago community organizations"
"8575","cook county bar association"
"8576","mexican american legal defense fund"
"8577","black leadership forum inc"
"8578","chicago conference of black lawyers"
"8579","puerto rican bar association of illinois"
"8580","see forever maya angelou public charter school"
"8581","national network for youth"
"8582","national alliance to end homelessness"
"8583","national coalition for the homeless"
"8584","chicago coalition for the homeless"
"8585","chicago national black police association"
"8586","hispanic national law enforcement association"
"8587","northwest neighborhood federation"
"8588","west avalon civic group inc"
"8589","chicago neighborhood organizations"
"8590","virginia capital case clearinghouse"
"8591","new york intellectual property law association"
"8592","american gaming association"
"8593","emerging markets traders association"
"8594","lpa inc"
"8595","truckload carriers association"
"8596","association of waste hazardous materials transporters"
"8597","american moving and storage association"
"8598","alliance for rehabilitation counseling"
"8599","self help for hard of hearing people"
"8600","committee for children"
"8601","national organization on disability"
"8602","statewide independent living council of georgia"
"8603","national depressive and manic-depressive association"
"8604","american psychiatric nurses association"
"8605","american with disabilities association inc"
"8606","georgia rural urban summit"
"8607","international brain injury association"
"8608","mental health association of georgia"
"8609","national industries for the severely handicapped"
"8610","north georgia wheelers"
"8611","shepherd center"
"8612","volunteers of america"
"8613","aids legal referral panel"
"8614","national council for community behavioral healthcare"
"8615","rehabilitation engineering and assistiv"
"8616","people first of georgia"
"8617","speaking for ourselves"
"8618","national down syndrome congress and vision for equality inc"
"8619","people first of alabama"
"8620","people first of alaska"
"8621","people first of arizona"
"8622","people first of connecticut"
"8623","people first of denver"
"8624","people first of illinois"
"8625","self-advocates of indiana"
"8626","people first of louisiana"
"8627","massachusetts advocates standing strong"
"8628","advocating change together in minnesota"
"8629","people first of missouri"
"8630","people first of new hampshire"
"8631","people first of albuquerque"
"8632","self-advocacy association of new york inc"
"8633","people first of ohio"
"8634","people first of oklahoma"
"8635","advocates in action"
"8636","people first of salt lake city"
"8637","people first of ogden"
"8638","people first of cash valley"
"8639","people first of dane county"
"8640","people first of wyoming"
"8641","people first of colorado"
"8642","vermont peer support network"
"8643","self advocates becoming empowered"
"8644","national council on disability"
"8645","tash inc"
"8646","reed elsevier inc"
"8647","american society of media photographers"
"8648","copyright clearance center inc"
"8649","software publishers association"
"8650","california association of sanitation agencies"
"8651","alliance of automobile manufacturers"
"8652","environmental management association of south carolina"
"8653","south carolina manufacturers alliance"
"8654","environmental technology council"
"8655","bay planning coalition"
"8656","california auto dismantlers association"
"8657","americans for the environment"
"8658","clean water action"
"8659","delaware riverkeeper network"
"8660","citizens for a better environment"
"8661","delta keeper"
"8662","a project of the san francisco baykeeper"
"8663","california public interest research group"
"8664","florida public interest research group"
"8665","illinois public interest research group"
"8666","public interest research group in michigan"
"8667","ohio public interest research group"
"8668","oregon state public interest research group"
"8669","washington public interest research group"
"8670","american canoe association inc"
"8671","neuse river foundation"
"8672","pennsylvania energy project"
"8673","san diego baykeeper"
"8674","forest guardians"
"8675","investigative reporters and editors inc"
"8676","individual reference services group and the software and information industry association"
"8677","american court and commercial newspapers inc"
"8678","policemen's benevolent and protective association of illinois"
"8679","illinois police association"
"8680","electronic privacy information center"
"8681","national womens health organization"
"8682","national center for civtis of crime"
"8683","stopdv inc"
"8684","national coalition of abortion providers"
"8685","voting integrity project"
"8686","california acadey of appellate lawyers"
"8687","federal defender association"
"8688","first amendment project"
"8689","gun owners of america"
"8690","national republican senatorial committee"
"8691","missouri republican party"
"8692","james madison center for free speech"
"8693","public campaign"
"8694","democracy 21"
"8695","national civic league"
"8696","campaign for consumer protection"
"8697","center for governmental studies"
"8698","council of hawaiian organizations"
"8699","native hawaiian convention"
"8700","ha hawaii"
"8701","hui kalat aina"
"8702","alu like inc"
"8703","papa ola lokahi"
"8704","association of hawaiian civic clubs"
"8705","native hawaiian bar association"
"8706","office of hawaiian affairs"
"8707","ka lahui"
"8708","kamehameha schools bishop estate trust"
"8709","hawaii congressional delegation"
"8710","alaska federation of natives"
"8711","hui kakoo aina hoo pulapula"
"8712","kalamaula homestead association"
"8713","hawaiian homes commission"
"8714","state council of hawaiian homestead associations"
"8715","equal opportunity"
"8716","new york civil rights coalition"
"8717","campaign for a color-blind america"
"8718","americans against discrimination and preferences"
"8719","national subacute care association"
"8720","national association for the support of long term care"
"8721","american society of cataract and refractive surgery"
"8722","illinois state medical society"
"8723","american association of homes and services for the aging"
"8724","puget sound steamship operators association"
"8725","chamber of shipping of british columbia"
"8726","american dental hygienists association"
"8727","american association for respiratory care"
"8728","alliance for lung cancer advocacy support and education"
"8729","american college of cardiology"
"8730","american school health association"
"8731","federation of behavioral psychological and cognitive sciences"
"8732","infact"
"8733","interreligious coalition on smoking or health"
"8734","national association of county and city health officials"
"8735","national center for tobacco-free kids"
"8736","national council on womens health inc"
"8737","national tobacco independence campaign"
"8738","partnership for prevention"
"8739","summit health coalition"
"8740","national womens law "
"8741","donghia furniture and textiles ltd"
"8742","draper-dbs inc"
"8743","drexel heritage furniture company"
"8744","emeco inc"
"8745","foundation for design integrity"
"8746","imagineering inc"
"8747","l and jg stickley inc"
"8748","landscape forms inc"
"8749","1168983 ontario ltd"
"8750","pebble beach co"
"8751","petes steakhouse inc"
"8752","pinehurst inc"
"8753","taco cabana inc"
"8754","willitts designs international inc"
"8755","ashley furniture industries inc"
"8756","payless shoesource inc"
"8757","evergreen freedom foundation"
"8758","students for legal government"
"8759","family research institute"
"8760","national smokers alliance"
"8761","student rights law center"
"8762","associated collegiate press"
"8763","university of california student association"
"8764","minnesota state university student association"
"8765","north dakota state university student association"
"8766","oklahoma student government association"
"8767","kentucky board of student residents"
"8768","student association of state universities of new york"
"8769","california state student association"
"8770","alaska coalition of student leaders"
"8771","colorado student association"
"8772","university of colorado-boulder student union"
"8773","florida student association"
"8774","university of kansas student senate"
"8775","ulster county community college student government"
"8776","associated students of madison"
"8777","oregon student association"
"8778","washington student lobby"
"8779","lesbian gay bisexual law student union"
"8780","lorax society"
"8781","madison area jugglers"
"8782","madison coalition for animal rights"
"8783","madison film forum"
"8784","madison filmmakers collective"
"8785","madison israel public affairs committee"
"8786","madison student radio"
"8787","madison treaty rights support group university of wisconsin-madison chapter of midwest treaty network"
"8788","medical students for choice university of wisconsin-madison chapter"
"8789","mens club volleyball"
"8790","mexican student association"
"8791","mifflin street co-op student organization university of wisconsin-madison chapter"
"8792","mining ipact coalition university of wisconsin-madison chapter"
"8793","model organization of american states university of wisconsin-madison chapter"
"8794","model united nations university of wisconsin-madison chapter"
"8795","national association for the advancement of colored people university of wisconsin-madison chapter"
"8796","national lawyers guild university of wisconsin-madison chapter"
"8797","omulu capoeira"
"8798","order of sleepless knights"
"8799","panhellenic association university of wisconsin-madison chapter"
"8800","physicians"
"8801","national legal aid and defender association student legal services section"
"8802","advancing women in higher education"
"8803","college board"
"8804","american college personnel association"
"8805","united council of university of wisconsin students inc"
"8806","lesbian gay bisexual and transgender campus center at the university of wisconsin-madison"
"8807","criminal justice policy foundation"
"8808","justice coalition"
"8809","dante project inferno"
"8810","national campaign for freedom of expression"
"8811","deja vu of nashville inc"
"8812","deja vu consulting inc"
"8813","american association for nude recreation"
"8814","american liberties institute seminole county florida"
"8815","council of local governments"
"8816","erie county citizens coalition against violent pornography"
"8817","pro bono criminal assistance project"
"8818","national association of federal defenders"
"8819","angels on track foundation"
"8820","coalition for safer crossings"
"8821","active people against railroad tragedies"
"8822","hands across the rails"
"8823","railwatch"
"8824","national association of railroad safety consultants and investigators"
"8825","stein center for law and ethics"
"8826","nature conservancy"
"8827","new mexico cattle growers association"
"8828","alameda bookcliffs ranch"
"8829","new mexico public lands council"
"8830","arizona and new mexico coalition of counties for stable economic growth"
"8831","production credit association of new mexico"
"8832","new mexico wool growers association"
"8833","northwest mining association"
"8834","association of rangeland consultants"
"8835","farm credit institutions"
"8836","state bank of southern utah"
"8837","hamilton securities group inc"
"8838","citizens local environmental action network"
"8839","national defense industrial association"
"8840","american clinical laboratory association"
"8841","orleans parish school board"
"8842","louisiana state school board association"
"8843","louisiana state school superintendents association"
"8844","mississippi association of school superintendents"
"8845","mississippi school boards association"
"8846","national coalition for the protection of children and families"
"8847","cato institute"
"8848","center for the original intent of the constitution"
"8849","minnesota family institute"
"8850","domestic violence project inc"
"8851","center for children's policy practice and research at the university of pennsylvania"
"8852","coalition for the restoration of parental rights"
"8853","grandparents united for childrens rights inc"
"8854","grandparent caregiver law center of the brookdale center on aging"
"8855","generations united"
"8856","family voices-new jersey"
"8857","iowa protection and advocacy systems"
"8858","statewide parent advocacy network of new jersey"
"8859","texas association of business and chambers of commerce"
"8860","alabama retail association"
"8861","national association for the advancement of colored people legal defense and educational fund inc national association for the advancement of colored people"
"8862","health care for all"
"8863","center for health care rights"
"8864","connecticut citizen action group"
"8865","consumers for affordable health care foundation"
"8866","new hampshire citizens alliance"
"8867","texas citizen fund"
"8868","texas heart"
"8869","health administration responsibility project"
"8870","northwest health care advocates"
"8871","community catalyst"
"8872","american association of health plans"
"8873","watkins-johnson company limited"
"8874","jandr capital company limited"
"8875","nationsbank of georgia na"
"8876","bond market association"
"8877","interfaith alliance"
"8878","soka gakkai international usa"
"8879","national pearl"
"8880","jm dawson institute of church-state studies"
"8881","liberty alliance"
"8882","free market foundation"
"8883","association of state correctional administrators"
"8884","national league of cities council of state governments"
"8885","industry coalition on technology transfer"
"8886","retailers association of massachusetts"
"8887","united states council for international business"
"8888","coalition for local sovereignty"
"8889","sustainable america"
"8890","synapses"
"8891","united for a fair economy"
"8892","ursuline sisters of tildonk ustawi"
"8893","womens division--general board of global ministries--united methodist church"
"8894","east timor action network"
"8895","center for economic justice"
"8896","free burma--no petro dollars"
"8897","international rivers network"
"8898","merrimack valley people for peace"
"8899","minnesota advocates for human rights"
"8900","alliance for democracy"
"8901","catholic foreign mission society of america"
"8902","consumers choice council"
"8903","free burma coalition"
"8904","international labor rights fund"
"8905","los angeles burma forum"
"8906","new england burma roundtable"
"8907","american lands alliance"
"8908","arise resource center"
"8909","as "
"8910","bipartisan legal advisory group of the united states house of representatives"
"8911","maricopa county attorneys office"
"8912","manning and marder kass ellrod ramirez"
"8913","federal bureau of investigation agents association"
"8914","klaaskids foundation"
"8915","justice for all texas inc"
"8916","justice for all new york inc"
"8917","crime victims united oregon"
"8918","arizona voice for crime victims inc"
"8919","doris tate crime victims bureau"
"8920","virginia association of chiefs of police"
"8921","alaskan voters for an open primary"
"8922","eagle forum education and legal defense fund and the claremont institute center for constitutional jurisprudence"
"8923","northern california committee for party renewal"
"8924","lesbian and gay bar association"
"8925","washington legals"
"8926","minnesota lavender bar association"
"8927","colorado lesbian and gay bar association"
"8928","bar association for human rights of greater houston inc"
"8929","center for lesbian and gay civil rights"
"8930","lesbian and gay law association of greater new york inc"
"8931","national asian pacific legal consortium"
"8932","human rights campaign"
"8933","national 4-h council"
"8934","national association for multicultural education"
"8935","matthew shepard foundation"
"8936","national youth advocacy coalition"
"8937","board of education of the city of new york"
"8938","general commission on united methodist men of the united methodist church"
"8939","national catholic committee on scouting"
"8940","ethics and religious liberty commission of the southern baptist convention"
"8941","national criminal justice council"
"8942","committee to protect the family foundation"
"8943","public advocate of the united states"
"8944","gays and lesbians for individual liberty"
"8945","new jersey catholic conference"
"8946","eagle forum education and legal defense fund"
"8947","institute for public affairs of the union of orthodox jewish congregations of america"
"8948","family defense council"
"8949","campus crusade for christ"
"8950","rejoyce in jesus campus fellowship"
"8951","california state club association"
"8952","national club association"
"8953","diocesan council of the episcopal diocese of newark"
"8954","center for reform judaism"
"8955","national abortion and reproductive rights action league pro-choice colorado"
"8956","national center for the pro choice majority"
"8957","planned parenthood of the rocky mountains inc planned parenthood of the rocky mountains services corporation"
"8958","republicans for choice"
"8959","horace mann league"
"8960","interfaith religious liberty foundation"
"8961","avi chai foundation"
"8962","center for education reform"
"8963","milton and rose d friedman foundation"
"8964","american education reform foundation"
"8965","ceo america"
"8966","greater educational opportunities foundation"
"8967","parents for school choice"
"8968","floridians for school choice"
"8969","hope clinic for women ltd"
"8970","emw womens surgical center psc"
"8971","rhode island medical society"
"8972","washington state coalition against domestic violence"
"8973","greater philadelphia womens medical fund"
"8974","medical students for choice"
"8975","third wave foundation"
"8976","access project"
"8977","allegheny reproductive health center"
"8978","allentown womens center"
"8979","asians and pacific islanders for reproductive health"
"8980","center for policy alternatives"
"8981","choice"
"8982","choice usa"
"8983","clara bell duvall education fund"
"8984","dome"
"8985","naral pro-choice america foundation"
"8986","planned parenthood of wisconsin"
"8987","the federation of temple sisterhoods"
"8988","women of reform judaism"
"8989","ethics and ritual"
"8990","life education and resource network"
"8991","texas black americans for life"
"8992","new jersey physicians research council"
"8993","texas physicians resource council"
"8994","physicians ad hoc coalition for truth"
"8995","pennsylvania physicians resource council"
"8996","physicians research council of the indiana family institute"
"8997","physicians resource council of focus on the family"
"8998","oklahoma physicians resource council"
"8999","wisconsin physicians resource council"
"9000","family first"
"9001","thomas more center for law and justice"
"9002","right to life advocates inc"
"9003","national association for the protection of unborn children"
"9004","nebraska catholic conference"
"9005","massachusetts citizens for life inc"
"9006","samsung"
"9007","the association of federal defenders"
"9008","regional airline association"
"9009","american civil rights union"
"9010","illinois consumer justice council inc"
"9011","national conference for community and justice"
"9012","national federation of filipino american associations"
"9013","india abroad center for political awareness"
"9014","world wildlife fund"
"9015","arid operations inc"
"9016","western coalition of arid states"
"9017","tejon ranch company"
"9018","north dakota farm bureau"
"9019","national stone association"
"9020","american road and transportation builders association"
"9021","metropolitan denver water authority of colorado"
"9022","real estate roundtable"
"9023","california atascadero state hospital section 6600 civil committees"
"9024","community defense counsel"
"9025","american charities for reasonable fund raising regulation inc"
"9026","florida cannabis action network inc"
"9027","dkt liberty project"
"9028","kentucky high school athletic association"
"9029","idaho high school activities association"
"9030","hawaii high school athletic association"
"9031","illinois high school association"
"9032","louisiana high school athletic association"
"9033","missouri state high school activities association"
"9034","new hampshire interscholastic athletic association inc"
"9035","rhode island interscholastic league inc"
"9036","vermont principals association inc"
"9037","wisconsin interscholastic athletic association"
"9038","wyoming high school activities association"
"9039","michigan high school athletic association"
"9040","montana high school association"
"9041","ohio high school athletic association"
"9042","georgia high school association"
"9043","nebraska school activities association"
"9044","florida high school activities association inc"
"9045","girls incorporated"
"9046","tennessee lawyers association for women"
"9047","national association for women in education"
"9048","national organization of women"
"9049","parents for title ix"
"9050","sportsbridge"
"9051","national voting rights institute"
"9052","southeast law institute"
"9053","medical device manufacturers association"
"9054","medtronic inc"
"9055","danek medical inc"
"9056","advocates standing strong"
"9057","easter seals inc"
"9058","polio society"
"9059","american association of people with disabilities"
"9060","klynveld peat marwick goerdeler llp"
"9061","steel manufacturers association"
"9062","american sovereignty action project"
"9063","american policy center"
"9064","true blue freedom"
"9065","center for individual freedom"
"9066","mercatus center"
"9067","illinois power co"
"9068","kennecott energy and coal company"
"9069","kennecott holdings corporation"
"9070","kennecott services company"
"9071","otter tail power company"
"9072","ntel corporation"
"9073","arizona association of industries"
"9074","national pest management association"
"9075","american crop protection association"
"9076","american wood preservers institute"
"9077","chemical specialties manufacturers association"
"9078","fertilizer institute"
"9079","responsible industry for a sound environment"
"9080","hoosier environmental council inc"
"9081","illinois environmental council"
"9082","legal environmental assistance foundation inc"
"9083","michigan environmental council"
"9084","ohio environmental council"
"9085","southern environmental law center"
"9086","valley watch inc"
"9087","ohio citizen action"
"9088","environmental law and policy center of the midwest"
"9089","clean air council"
"9090","east michigan environmental action council"
"9091","league of women voters of the united states and league of women voters of missouri"
"9092","united south and eastern tribes inc"
"9093","native ecology initiative fund inc"
"9094","thomas and betts corporation"
"9095","panduit corporatoin"
"9096","holmes group inc"
"9097","cornell death penalty project"
"9098","society of general internal medicine"
"9099","consortium for substance abusing women and their children"
"9100","south carolina medical association"
"9101","south carolina nurses association"
"9102","association for medical education and research in substance abuse"
"9103","society for medical anthropology"
"9104","california society of addiction medicine"
"9105","institute for health and recovery"
"9106","national workrights institute"
"9107","council for employment law equity"
"9108","combined law enforcement associations of texas"
"9109","new mexico district attorneys association"
"9110","west virginia prosecuting attorneys institute"
"9111","southern center for human rights"
"9112","flint genesee united for action"
"9113","residents of sanborn court"
"9114","justice and environmental safety"
"9115","center on race poverty and the environment"
"9116","beauty enterprises inc"
"9117","center for equal opportunity"
"9118","national collegiate athletic association"
"9119","us english"
"9120","texas police chiefs association"
"9121","institute on criminal justice at the university of minnesota law school"
"9122","national police accountability project of the national lawyers guild"
"9123","reliant energy"
"9124","ashland incorporated"
"9125","corning incorporated"
"9126","csx corporation"
"9127","eastman chemical company"
"9128","kmart corporation"
"9129","merck and company incorporated"
"9130","connecticut general life insurance"
"9131","american chemistry council"
"9132","coalition for asbestos justice"
"9133","general dynamics co"
"9134","marin county medical society of california"
"9135","colorado nurses association"
"9136","california nurses association"
"9137","mothers against misuse and abuse"
"9138","aids project arizona"
"9139","aids resource center of wisconsin"
"9140","aids treatment initiatives"
"9141","national pain foundation"
"9142","american civil liberties union of san diego and imperial counties"
"9143","committees of correspondence"
"9144","national drug prevention alliance"
"9145","pride omaha"
"9146","national families in action"
"9147","westminster area community awareness action team"
"9148","international drug strategy institute"
"9149","concerned citizens for drug prevention"
"9150","drug abuse resistance education"
"9151","hippokratic society"
"9152","sos save our society from drugs"
"9153","drug free kids: americas challenge"
"9154","drug free america foundation"
"9155","main south alliance for public safety"
"9156","drug prevention network of the americas"
"9157","drug watch international"
"9158","drug watch minnesota"
"9159","washington drug free business initiative"
"9160","international scientific and medical forum on drug abuse"
"9161","international students in action"
"9162","cedro centro de informacion y education para la prevencion del abuso de drogas"
"9163","national institute of citizen anti drug policy"
"9164","national coalition maryland"
"9165","institute for behavior and health"
"9166","northwest center for hea"
"9167","cellular telecommunications industry association"
"9168","federal judges association"
"9169","federal bar council"
"9170","proper economic resource management"
"9171","american therapeutic recreation association"
"9172","brain injury family assistance center"
"9173","national association for the advancement of orthotics and prosthetics"
"9174","national center on accessibility"
"9175","association on higher education and disability"
"9176","national therapeutic recreation society"
"9177","national association of developmental disabilities councils"
"9178","american network of community optio"
"9179","k t support group"
"9180","american association of adapted sports programs"
"9181","americas athletes with disabilities"
"9182","disabled sports usa"
"9183","dwarf athletic association of america"
"9184","wheelchair sports usa"
"9185","united states cerebral palsy athletic association"
"9186","national wheelchair basketball association"
"9187","united states of america association of blind athletes"
"9188","united states of america deaf sports federation"
"9189","ladies professional golf association"
"9190","association of tennis professionals tour"
"9191","united states golf association"
"9192","american society for healthcare human resources administration"
"9193","prison reform advocacy center"
"9194","ask dino about brief in support of decision below at the invitation of the court"
"9195","national association for the mentally handicapped of ireland"
"9196","european academy of childhood disability"
"9197","community of santegidio"
"9198","british institute of learning disabilities"
"9199","mencap: royal society for mentally handicapped children and adults"
"9200","international association for the scientific study of intellectual and developmental disabilities"
"9201","ihc new zealand inc"
"9202","canadian association for community liviing"
"9203","inclusion international"
"9204","bundesvereinigung lebenshilfe"
"9205","posgamea"
"9206","bar human rights committee"
"9207","an undisclosed united kingdom charity which aims to train lawyers in the uk to provide assistace for us death penalty attorneys by undertaking internships in the provision of briefs of amicus curiae preparing clemency petitions undertaking research and ma"
"9208","arc of texas"
"9209","iassid"
"9210","center on fathers families and public policy"
"9211","national center on poverty law"
"9212","equality now"
"9213","argentine association of women judges"
"9214","ethiopian women lawyers association"
"9215","forum for women law and development"
"9216","international federation of women jurists"
"9217","international federation of women lawyers"
"9218","international womens rights action watch"
"9219","latin american and caribbean committee for the defense of womens rights"
"9220","women in law and development in africa"
"9221","wallbuilders inc"
"9222","bronx household of faith"
"9223","fellowship of christian athletes"
"9224","child evangelism fellowship"
"9225","solidarity center for law and justice"
"9226","first church of christ scientist"
"9227","reorganized church of jesus christ of latter day saints"
"9228","african methodist episcopal zion church"
"9229","national association of extradition officials"
"9230","national law enforcement officers rights center"
"9231","united states association of importers of textiles and apparel"
"9232","united states apparel industry council"
"9233","filofax incorporated"
"9234","hebrew immigrant aid society"
"9235","florence immigrant and refugee rights project"
"9236","coalition for humane immigrant rights of los angeles"
"9237","coalition for the human rights of immigrants"
"9238","citizens and immigrants for equal justice"
"9239","midwest immigrant and human rights center"
"9240","unite"
"9241","leadership conference on civil and human rights"
"9242","western organization of resource councils"
"9243","powder river basin resource council"
"9244","dakota resource council"
"9245","northern plains resource council inc"
"9246","idaho rural council"
"9247","campaign for family farms"
"9248","philip j gilligan inc"
"9249","bidart bros"
"9250","duarte nursery"
"9251","lucas bros partnership"
"9252","susan neill fresh fruit"
"9253","gallo cattle co"
"9254","rosemary farms"
"9255","delano farms"
"9256","country eggs"
"9257","coalition of cotton apparel importers"
"9258","american soybean association"
"9259","united egg producers inc"
"9260","california agricultural issues forum"
"9261","western mushroom marketing association"
"9262","national republican congressional committee"
"9263","american institute of graphic arts"
"9264","advertising photographers of america"
"9265","romance writers of america"
"9266","american society of picture professionals"
"9267","north american nature photography association"
"9268","graphic artists guild"
"9269","outdoor writers association of america"
"9270","artists rights society"
"9271","society of american travel writers"
"9272","garden writers association of america"
"9273","society of children's book writers and illustrators"
"9274","text and academic authors association"
"9275","world publications"
"9276","editorial photographers"
"9277","science fiction writers of america"
"9278","international federation of journalists"
"9279","national geographic society"
"9280","primedia inc"
"9281","the ew scripps company"
"9282","freedom communications"
"9283","journal communications inc"
"9284","macromedia inc"
"9285","buena vista magazines"
"9286","belo"
"9287","village voice media"
"9288","hachette filipacchi magazines inc"
"9289","ziff davis media inc"
"9290","dialog corp"
"9291","national federation of abstracting and information services"
"9292","dow jones reuters business interactive llc"
"9293","gale group"
"9294","los angeles county tobacco control alliance"
"9295","national league of cities national governors association"
"9296","rhode island chapter of the american planning association"
"9297","california state association of counties"
"9298","save the bay--people for narragansett bay"
"9299","audubon society of rhode island"
"9300","rhode island farm bureau federation"
"9301","california coastal property owners association"
"9302","privacy rights clearinghouse"
"9303","associated credit bureaus"
"9304","equifax credit information services inc"
"9305","trans union llc"
"9306","experian information solutions"
"9307","southwest center for asian pacific american law"
"9308","federation of women contractors"
"9309","illinois association of women contractors and entrepreneurs"
"9310","women first national legislative committee"
"9311","alliance for community media"
"9312","womens institute for freedom of the press"
"9313","civil rights forum on telecommunications policy"
"9314","national association of black journalists"
"9315","national asian american telecommunications association"
"9316","national association of black telecommunications professionals"
"9317","black college communication association"
"9318","media action network of asian americans"
"9319","national association of hispanic journalists"
"9320","national association of minorities in communications"
"9321","national association of minority media executives"
"9322","l.s. lee inc"
"9323","american civil rights institute"
"9324","badische anilin and soda-fabrik corporation"
"9325","delta and pine land company"
"9326","american corn growers association"
"9327","american occupational therapy association"
"9328","halftheplanet foundation"
"9329","levi strauss and co"
"9330","american benefits council"
"9331","national association of subrogation professionals"
"9332","transportation institute"
"9333","national maritime safety association"
"9334","dredging contractors of america"
"9335","north carolina human relations commission"
"9336","rhode island commission for human rights"
"9337","kansas human rights commission"
"9338","united telecom council"
"9339","wireless communications association international"
"9340","american telephone and telegraph wireless services inc"
"9341","digital microwave corp stratex networks"
"9342","xo communications inc"
"9343","harris corp"
"9344","teligent"
"9345","winstar communications inc"
"9346","committee for public counsel services"
"9347","citizens for honest government"
"9348","capitol resource institute"
"9349","council of counseling psychology training programs"
"9350","oklahoma education association"
"9351","colorado association of school boards"
"9352","national association of federally impacted schools"
"9353","new mexico school boards association"
"9354","kansas association of school boards"
"9355","utah school boards association"
"9356","rg johnson company inc"
"9357","trustees of the umwa combined benefit fund"
"9358","seniorlaw legal action of wisconsin inc"
"9359","national academy of elder law attorneys"
"9360","medicaid"
"9361","employment law center of the legal aid society "
"9362","massachusetts union of public housing tenants"
"9363","carmelitos tenants association"
"9364","public housing resident council"
"9365","enphront"
"9366","island tenants on the rise"
"9367","hazelton alliance of resident councils"
"9368","pennsylvania association of resident councils"
"9369","resident advisory board to the allegheny county housing authority"
"9370","erie tenants council"
"9371","housing and development law institute"
"9372","national association of housing and redevelopment officials"
"9373","immigrants rights project of the american civil liberties union"
"9374","public justice center"
"9375","pineros y campesinos unidos del noroeste"
"9376","farmworker justice fund"
"9377","illinois coalition for immigrant and refugee rights"
"9378","massachusetts immigrant and refugee advocacy coalition"
"9379","nebraska appleseed center for law in the public interest"
